text;definition;example;frequency;category
All work and no play makes Jack a dull boy;This idiom means that it is not good to work all the time and that people may get bored if they don't get some time off from work.;I think you need to go out and have some fun. You know all work and no play makes Jack a dull boy.;0;work
all's fair in love and war.;This idiom means you are allowed to be deceitful in order to get what you want.;To get her to go out with him, he lied and told her that is very rich. All's fair in love and war.;0;war
along the lines;In a general direction or manner.;I was thinking along the lines of a vegetable garden, but I could be persuaded to include some perennials.;0;general
always chasing rainbows;This idiom means you are trying to do something that you will never achieve.;Although he is 48 years old, he is still dreaming of becoming a famous singer. He's always chasing rainbows.;0;nature
an arm and a leg;A lot of money.;These glasses cost me an arm and a leg.;0;parts of the body
an eye for an eye;Said to suggest that punishment should equal the crime. At the root of this principle is that one of the purposes of the law is to provide equitable retribution for an offended party.;In some countries, justice operates on the principle of an eye for an eye. That is, if you kill someone, you desrve to die.;0;parts of the body
another nail in one's coffin;One in a series of events which lead to downfall or inevitable failure.;After the bankruptcy and the death of his only son, divorce is just another nail in his coffin.;0;death
any minute soon now;Very soon.;The news about the president's resignation will be broadcasted on TV any moment now.;0;time
any port in a storm;An unfavorable option which might well be avoided in good times but which nevertheless looks better than the alternatives at the current time.;That horrible hotel was a case of any port in a storm as we couldn't find any place to spend the night.;0;travel
any port in a storm;This idiom is used to describe a situation in which you are forced to accept any solution whether you like or not.;I accepted the job although it was below my expectations. Any port in a storm, you know!;0;weather
apple of somebody's eye;said about someone whom you love the most and you are very proud of.;His son is the apple of his eye.;0;food
are your ears burning?;Said about someone who was not present but was the topic of discussion.;We were just talking about you. Are your ears burning?;0;parts of the body
armchair critic;This idiom is about person who knows or pretends to know a lot about something in theory rather than practice.;He is such an armchair critic, he has no experience in the subject but he is ready to give plenty of advice.;0;furniture
armed to the teeth;This idiom means heavily armed with deadly weapons.;He was caught armed to the teeth and was a danger to himself and the community.;0;war
arrow in the quiver;This idiom is used when talking about one of a number of resources or strategies that can be used to achieve a goal.;If you are having a job interview, improving your communication skills can be another arrow in your quiver.;0;war
art is long and life is short;This idiom means that works of art last much longer than human lives.;It takes a long time to acquire and perfect one's expertise (in, say, medicine) and one has but a short time in which to do it.;0;art
as bald as a cue ball;Completely without hair.;His father was as bald as a cue ball!;0;sport
as blind as a bat;This idiom means they are nearly or completely blind or they are unwilling to recognize problems or bad things.;He is as blind as a bat when it comes to his wife's shameful behavior;0;health
as gentle as a lamb;Said about kind , innocent, mild-mannered people.;She is as gentle as a lamb. That's why everybody likes her.;0;animals
as patient as Job;Someone who is very patient.;If you want to work with that temperamental woman you must be as patient as Job.;0;religion
as poor as a church mouse;Someone who does not have money.;He is as poor as a church mouse, don't ask him to donate anything.;0;religion
as ugly as sin;Something aesthetically not pleasing.;Jesus Christ! The dress she is wearing is as ugly as sin.;0;religion
at a loss for words;This idiom means that you are unable to speak.;He treated her so badly that she was completely at a loss for words.;0;language
at death's door;About to die, in a life-threatening state of health;There were rumors that the president was murdered, or at death's door.;0;death
at death's door;This idiom means that someone is very close to the end of his life.;She was so ill and was at death's door for more than a month.;0;death
at hand;This idiom means nearby, or close by in time or in space.;A new cure for AIDS is at hand.;0;parts of the body
at sixes and sevens;This idiom is used to describe a state of confusion or disarray.;John is at sixes and sevens after the death of his wife.;0;numbers
at the drop of a hat;To do it without delay or good reason.;So many years of sacrifice and then you can leave me at the drop of a hat.;0;clothes
at the wheel;Driving, in control of a vehicle.;You know he fell asleep at the wheel. They were so lucky they didn't have an accident.;0;travel
at your mother's knee;Said about something that you learned when you were a child.;She learned to sing at her mother's knee.;0;parts of the body
back on one's feet;This idiom refers to recovering from an illness or from a problem.;I am broke for the moment, but I'll get back on my feet as soon as I start working again.;0;parts of the body
back the wrong horse;to support someone or something that later cannot be successful.;Don't back the wrong horse! You know he cannot win the elections.;0;animals
back to the salt mines;This idiom means you have to return back to the workplace.;The vacation is over. Back to the salt mines!;0;work
backseat driver;A passenger in a car who insists on giving the driver directions.;My brother is such a backseat driver. I hate traveling with him.;0;travel
bad blood;Unpleasant feeling between different people.;There is bad blood between Nancy and Leila. They are rarely in good terms with each other.;0;relationship
bad egg;Bad person;Just ignore him. He's a bad egg.;0;food
bag of bones;An extremely thin person.;He's turning into a bag of bones. He lost so much weight.;0;health
bag of tricks;A set of techniques and methods.;Why don't you use your bag of tricks to help us solve this problem?;0;general
ball of fire;A person who is especially hard-working, high-achieving, ambitious, or active.;They say he is a real ball of fire. He has already demonstrated his wish to climb higher.;0;sport
ball someone or something up;To make a mess of, destroy or ruin, to interfere with someone or something.;Someone has balled my car up.;0;sport
ball-breaker;This refers either to a job or situation that is demanding and arduous and punishing or to a demanding woman who destroys men's confidence.;My job is such a ball-breaker! My boss expects me to work over the weekend again.;0;sport
banana repulic;A small country, especially one in Central America, that is dependent on a single export commodity and that has a corrupt, dictatorial government.;Banana republic countries need democratization.;0;food
bank on;To expect something or rely on.;Can I bank on your friend's predictions about the stock market?;0;money
baptism of fire;This idiom refers to a very difficult first experience someone undergoes.;My first day as the manager of the restaurant was a real baptism of fire.;0;religion
be a barrel of laughs;Be enjoyable or entertaining.;This movie is a real barrel of laughs.;0;general
be a chicken;Be a coward.;Don't be a chicken. Talk to her about your love for her.;0;animals
be a cold fish;Be a person who is distant and unfeeling;He rarely talks to his colleagues. He's a cold fish.;0;animals
be an item;Said about a couple when they are having a romantic relationship.;I heard that Leila and Joe are an item.;0;relationship
be better than sex;Said about something which is very enjoyable or exciting.;Riding a horse is a real fun. It's better than sex.;0;sexuality
be dead in the water;Said when something has no chance of succeeding or of making any progress.;Our projects will be dead in the water if we don't have a good plan.;0;nature
be dead in the water;This idiom means that something is unsuccessful and it seems impossible that it will be successful in the future.;The whole economy is dead in the water.;0;death
be dead to the world;To be sleeping.;I think she has woken up. She was dead to the world ten minutes ago.;0;nature
be full of beans;Said about someone who is active, lively, healthy and has a lot of energy and enthusiasm.;He's always full of beans when he goes to work.;0;health
be glad to see the back of someone;To be happy to get rid of someone, to be happy because someone has left.;The youg man was glad to see the back of his father-in-law after he had stayed for a month.;0;parts of the body
be in black and white;To be written down.;My conditions to accept the job were in black and white in the contract.;0;colors
be in deep water;To be in serious trouble.;The government is in deep water because of its plans for tax increases.;0;nature
be in hot water;To be in a difficult situation;He was in hot water because of his speech about racism.;0;nature
be in somebody's shoes;To be in the situation that another person is in.;I wouldn't like to be in Nancy's shoes. She'll have a lot of problems with her boss.;0;clothes
be in the land of the living;Be awake or to be alive.;He was working all night long. I don't think he'll be in the land of the living before noon.;0;nature
be like a fish out of water;To feel uncomfortable in a situation.;After her divorce, she was like a fish out of water.;0;animals
be new to the game;This idiom refers to a lack of experience in a particular activity.;I can't teach this class. I have never had any training in teaching mathematics. I am new to the game.;0;sport
be no oil painting;Someone who is not good-looking.;She is very intelligent, but she's no oil painting.;0;art
be nuts about;Someone who is very enthusiastic about it or greatly in love with it.;He's nuts about books.;0;food
be on cloud nine;Feel extreme happiness or elation;She was on cloud nine when he proposed to marry her.;0;numbers
be on the ball;To be well-informed and respond promptly.;We need someone who's on the ball to help us implement our plan.;0;sport
be part of the furniture;Someone who has been somewhere so long as to seem an integral part of the place.;She worked for that company for so long that she became part of the furniture.;0;furniture
be sick and tired of;This idiom means to be angry and bored because something unpleasant has been happening for a long time.;I'm sick and tired of hearing your excuses!;0;health
be the cat's whiskers;To consider yourself to be the center of the universe.;She thinks she is the cat's whiskers in her new dress.;0;animals
bean counter;An accountant.;The company is hiring a new accountant.;0;work
bear fruit;This idiom means to yield successful results.;He thinks his new plan will undoubtedly bear fruit.;0;food
bear one's cross;To endure burden or difficulties.;I know it is a difficult situation you are experiencing, but you have to bear your own cross. I can't help you. I am sorry.;0;religion
beat a dead horse;To persist or continue far beyond any purpose, interest or reason.;If you continue talking about something that cannot be changed, you are beating a dead horse.;0;animals
beat a retreat;To leave hastily in the face of opposition.;When they saw the police coming, they beat a retreat.;0;sport
beat around the bush;To treat a topic, without mentioning its main points, often intentionally, because the topic is difficult or unpleasant.;Stop beating around the bush and tell me what the the problem is!;0;nature
beat the clock;To do something before a deadline.;They managed to beat the clock and arrive a few minutes before the conference started.;0;time
beat the rap;To evade conviction and punishment for a crime.;The lawyer helped John beat the rap after being caught by the police.;0;crime
beats me;I don't know, I have no idea.;What's the longest river in the world? Answer: Beats me!;0;sport
beef up;To strengthen or make something more effective.;They beefed up their offer with another million dollar.;0;animals
before you can say Jack Robinson;Very quickliy.;He can do difficult mathemaical operations before you can say Jack Robinson.;0;names
behind bars;In jail or prison.;That guy over there has been behind bars for five years.;0;general
behind closed doors;In private, in one's private life.;What you do with your partners behind closed doors is none of my business.;0;general
behind one's back;In one's absence;He was talking nonsense on my back when I arrived.;0;parts of the body
bells and whistles;This idiom refers to extra, fancy add-ons or gadgets on something like a phone, a car or a computer.;This cars is loaded with all the bells and whistles, but it's too expensive.;0;technology and science
below the salt;To be common or of low standing.;In medieval times servants used to sit below the salt.;0;food
bend the law;This idiom means to cheat a little bit without breaking the law.;He just bent the law a little bit to get what he wanted.;0;law
Benjamin of the family;This regers to the youngest child of the family.;Bill is the benjamin of the family.;0;names
bet your bottom dollar;This idiom is used to say that one can be sure about something.;You can bet your bottom dollar. The whole thing will end tragically.;0;money
better the devil you know;It is sometimes better to deal with someone or thing you know than to deal with a new person or thing who could be even worse.;Nancy is such a difficult girl to work with, but better the devil you know.;0;religion
between life and death;A situation involving the danger of dying or being killed.;The little kid lay all night long between life and death.;0;death
between life and death;This phrase is used to refer to a situation where both living and dying are possible.;After his terrible accident, he was for a long time between life and death.;0;life
between the devil and the deep blue sea;This idiom is referring to a dilemma, a choice between two undesirable situations.;She is caught between the devil and the deep blue sea. She has to choose between staying with her nasty husband and leaving him, taking care of her children all alone.;0;religion
beyond words;This idiom refers to an overwhelming situation where one cannot find words to express ones emotions.;I am thankful beyond words.;0;language
beyond your wildest dreams;This idiom means in a way you had never imagined before.;They have become rich beyond their wildest dreams.;0;dreams
Big Apple;Nickname for New York City.;Have you visited the official website of the Big Apple?;0;food
big bucks;Lots of money.;The new managing director must be making big bucks after his promotion.;0;money
big cheese;This idiom refers to an important or influential person in a group or organization.;Don't act like a big shot among your old friends;0;food
big deal;Something very important, difficult, or of concern.;It's no big deal if you don't finish.;0;general
big fish in a small pond;One who has achieved a high rank or is highly esteemed, but only in a small, relatively unimportant, or little known location or organization.;Dr. Jones could get a professorship at an Ivy League university, but he enjoys being a big fish in a small pond too much to ever leave Hanover College.;0;animals
big frog in a small pond;This idiom refers to a very important person in a place where there are less important people. This idiom alludes to a large frog that dominates other less challenging frogs.;He is a big frog in a small pond. He has nobody to compete with in this company.;0;animals
big girl's blouse;This idiom refers to an effeminate or weak man or boy.;Don't care about what he is saying! Let's go! He's just a big girl's blouse.;0;clothes
big head;This idiom refers to a conceited or arrogant person.;She is such a bighead!;0;parts of the body
big mouth;Said about someone who tend to say things which are meant to be kept secret.;He is such a big mouth.He told them every thing.;0;parts of the body
big wheel;A person with a great deal of power or influence, especially a high-ranking person in an organization.;She's a big wheel at IBM.;0;general
bird's-eye view;This idiom refers to a view seen from high above. Figuratively the phrase means a brief survey of something or a quick look at something.;We got a bird's-eye view of the town from th top of the high building.;0;animals
birthday suit;This idiom is a slang term for the naked human body.;It was embarrassing for her to be seen in her birthday suit.;0;clothes
bite me;An expression of discontent, aggravation or anger.;Why are you shouting like that? Oh, bite me!;0;general
bite the dust;To die;Too many soldiers bit the dust in the second world war.;0;death
bite your lip;To make an effort not to react to something.;He didn't like the management of the business but he had to bite his lip.;0;parts of the body
bitter pill to swallow;Said about something unpleasant that must be accepted or endured.;After the disappointment and defeat, to declare bankruptcy was a bitter pill to swallow for him.;0;health
black and blue;Covered in bruises;He was black and blue the day after the accident;0;colors
black out;To lose consciousness.;He blacked out when he fell.;0;health
black sheep;A disreputable member of a family or a group.;They say he's the black sheep of the Bakers.;0;colors
black-and-white;Said when you have a simplistic opinion about situations while they are in fact more complicated.;I think terrorism isn't a black-and-white issue.;0;colors
blank canvas;This idiom refers to something with no content such that it can be easily filled with completely new things.;Children are blank canvasses. It's easy to make them believe whatever you want.;0;art
blank cheque;This phrase is used to mean that one is given an unlimited freedom of action.;The president has been given a blank check to conduct a war against the enemy.;0;money
blast from the past;The phrase refers to something or someone from your past that reappeared into your life again.;I used to watch this animated cartoon when I was a kid. What a blast from the past!;0;time
blessing in desguise;This idiom is said when a misfortune has some unexpected benefits;His failure to pass the exam was a blessing in disguise. This made him realize the importance of hard work.;0;general
blind date;A social meeting where the two people have never met before.;I went on a blind date yesterday but it was a total fiasco.;0;love
blood is thicker than water;Family relations are more important than all other relationships.;Even if Nancy and her brother often argue, they always forgive each other. Blood is thicker than water.;0;relationship
blow a fuse;become uncontrolably angry, lose your temper.;Hey, don't blow a fuse.;0;technology and science
blow a kiss;To kiss one's hand, then blow on the hand in a direction towards the recipient.;We haven't yet kissed, but she blew me a kiss as the train pulled out of the station. That meant a lot to me;0;general
blow one's own horn;To brag, to talk boastfully.;Nancy likes to blow her own horn.;0;music
blue-eyed boy;A person highly regarded by someone and treated with special favor;He was the blue-eyed boy of the boss.;0;colors
blue-sky thinking;This refers to thinking that is unrealistic. This phrase may also refer to creative ideas that diverge from current beliefs or ideas.;Blue-sky thinking has long been denigrated, and because of the economic recession, such fanciful thinking may even be considered downright irresponsible.;0;weather
Bob's your uncle;"Said to mean ""No problem"", ""the solution is simple"", ""there you have it"" (appended to the end of a description of how to achieve something).";You want to go to the stadium? Go straight on until you reach the park, take the first left and Bob's your uncle!;0;names
body language;This idiom refers to any gesture, position, or movement of the body or face, used to communicate non-verbally.;Her body language was quite hostile and threatening.;0;language
bolt from the blue;This refers to a complete surprise, something totally unexpected. In this phrase there is an allusion to a stroke of lightning from a clear blue sky.;The news that they are getting a divorce was a bolt from the blue.;0;weather
boots on the ground;The ground forces actually fighting in a war or conflict at the time of speaking, rather than troops not engaged or being transported to the fighting.;The Pentagon may say we have enough, but that's not what I'm hearing from the boots on the ground.;0;clothes
born to the purple;Someone born into a reigning family or privileged class.;She was the only child born to the purple.;0;colors
bottomless pit;This idiom refers to someone with a seemingly boundless appetite.;He eats every last bit of food in the house. He is really a bottomless pit.;0;general
break your back;To work very hard to do something.;I am not going to break my back to this job for such a low salary.;0;work
breathe one's last;This idiom means to die.;After he had suffered from leukemia for years, he breathed his last at about three o'clock in the morning.;0;death
bright as a button;Intelligent.;He has a daughter who is as bight as a button.;0;technology and science
bring a knife to a gunfight;To enter into a confrontation or other challenging situation without being adequately equipped or prepared.;We lost the deal against much equipped competitors because we brought a knife to a gunfight.;0;war
bring home the bacon;get a job and bring home money earned from this job.;When her husband got fired, she decided to look for a job because someone's got to bring home the bacon.;0;food
bring the curtain down;This idiom means to bring something to an end.;I am asking for a divorce. It's time to bring the curtain down.;0;furniture
bring to knees;To destroy or defeat someone or something.;The strikes brought the economy to its knees.;0;parts of the body
bring to the table;This idiom means to contribute something to a group effort.;It is all about you bring to the table.;0;furniture
broken dreams;This idiom refers to plans or goals that didn't come true.;Jane had her share of broken dreams in her marriage.;0;dreams
browned off;Annoyed, upset, angry, bored, fed up, disgusted.;He was browned off when he was ill treated.;0;colors
build bridges;To improve relationships between people.;They wanted to build bridges between Nancy and Alan to settle the conflict once for all.;0;relationship
burn candles at both ends;To work very hard, day and night.;She has been burning candles at both ends to finish a book about the history of the United States of America.;0;work
burn one's fingers;To suffer consequences of one's actions.;He burned his fingers in the stock market.;0;parts of the body
burn the midnight oil;Work hard, especially late into the night.;She was burning the midnight oil preparing for her daughter's wedding when she had a heart attack.;0;work
bury the hatchet;The phrase means to make peace.;John and Alan buried the hatchet and are now good friends.;0;war
butter up;To praise or flatter excessively.;Why are you buttering up the boss?;0;food
button (up) one's lip;To stop talking.;Please, button up your lip and keep the news secret till tomorrow.;0;technology and science
by the grace of God;Through the kindness and help of God.;By the grace of God, his son managed to pass the exam.;0;religion
by the name of;Called.;I met a doctor by the name of John.;0;names
by the numbers;This idiom means doing something in a strict, mechanical way, without using your imagination or creativity.;His work is done by the numbers. There is nothing original about it!;0;numbers
by the skin of one's teeth;This idiom means just barely, by a narrow margin.;I passed the exam by the skin of my teeth.;0;parts of the body
call a spade a spade;to be truthful about something, even if it is rude or unpleasant.;Lacy never fears to tell the truth. She calls a spade a spade.;0;general
call in sick;To inform your employer that you will be absent because you are ill.;Why don't you call in sick and go with us to the beach?;0;health
call it a day;To stop working for the rest of the day.;Why don't we call it a day? I'm really tired.;0;time
call off the dogs;Said when you want someone to stop criticizing you.;Please, call off the dogs. I apologize for what I have done.;0;animals
call on the carpet;To reprimand, to censure severely or angrily.;I hope he wouldn't be called on the carpet by the boss.;0;furniture
call someone names;To call someone by unpleasant, abusive or insulting names.;because he called his teacher names, Bill was punished.;0;names
call the shots;To be in charge. To decide on the course of action and take the initiative.;This is my wedding party, I will call the shots.;0;war
call the tune;To be the one who controls a situation, to have the most power and authority in a situation;In any deal you have with banks, it's them who call the tune.;0;music
calm before the storm;An unussual or false quiet period before a period of upheaval.;The negotiation between the two parties may be peaceful now. But don't be misled! This is only the calm before the storm.;0;nature
cannot stomach someone or something;This idiom means not to be able to tolerate someone or something.;She cannot stomach his silly remarks.;0;parts of the body
Captain Obvious;This idiom is used in conversation to draw attention to a self-evident fact.;Did you know that the earth turns around the sun? Yes, thank you, Captain Obvious!;0;names
carrot and stick;An offer involving a reward countered by the threat of punishment.;The president took a carrot and stick approach to the protests against his new laws.;0;food
carry a tune;This idiom means to sing a melody accurately.;I can't carry a tune, but my sister sings very well.;0;music
carry the ball;To take charge and control of an activity and be considered reliable enough to do a job.;He can't carry the ball. He isn't reliable.;0;sport
case in point;An example that illustrates a point;Plaing with these toys can be dangerous. For a case in point, look at what happened to our neighbor's child.;0;general
case-by-case;Separate and distinct from others of the same kind.;All applications are scrutinized on a case-by-case basis.;0;law
cash cow;This idiom refers to someone or something that generates a steady return of profits, a moneymaker.;The young actress turned out to be the cash cow for most Hollywood studios.;0;animals
castles in the air;Plans that are unlikely to happen.;Before you start building castles in the air, just think how much all this is likely to cost.;0;nature
cat burglar;This idiom refers to a thief who enters a building by skillfully climbing to a building without attracting notice.;He was known for being a cat burglar who only stole from apartments in high buildings;0;crime
catch someone's eye;This idiom means to get someone's attention.;It was her beautiful hair that caught my eye.;0;parts of the body
caught in a time warp;This idiom means to remain unchanged from a time in the past although everything else has.;The town seems to be caught in a time warp. People there are living as if they were still in the middle age.;0;time
caught in the crossfire;This idiom means to be trapped between two lines of enemy fire. Figuratively, the idiom refers to a situation in which one is caught between opposing people arguing about something, making it difficult to remain neutral.;A young girl is killed in crossfire after a routine arrest.;0;war
chalk something up to inexperience;To attribute a failure to inexperience and learn from that particular experience.;Chalk it up to inexperience, I guess, but he made a very poor decision.;0;general
charity begins at home;This idiom means that, before deciding to take care of other people, one's family should be one's foremost concern.;Take care of your children before volunteering in any association. Charity begins at home.;0;home
charmed life;This idiom refers to a life protected as if by magic charms. It describes a person who is very lucky and is strangely unaffected by dangers and difficulties.;Everybody believes that he leads a charmed life. He was lucky enough to survive after a terrible car accident.;0;life
chase rainbows;This idiom is used when someone tries to pursue unrealistic or fanciful goals, things that are impossible.;He thought he could convince the boss to appoint him as the new manager, but in fact he was chasing rainbows.;0;weather
chew the cud;This idiom means to ponder over or meditate about something, to think carefully about something.;She wanted to chew the cud before she could let them know about her decision.;0;food
chew the fat;To waste time talking or to chat idly.;As she had nothing to do, she wasted time chewing the fat with the neighbor.;0;food
chicken out;To refuse to do something because of fear.;He chickened out just at the time they were taking him to operating theatre.;0;animals
chicken-hearted;Not brave.;They are just chicken-hearted boys. They can't defend themselves from any attacks.;0;animals
chin music;Talk, conversation;When they meet, there will be plenty of chin music.;0;music
clean as a whistle;To be perfectly clean.;She's clean as a whistle.;0;music
click with someone or something;This idiom means to immediately like someone or something.;His idea clicked with Leila at once.;0;technology and science
clock on;To register one's arrival at work;They clocked on as soon as they arrived at work.;0;time
clock out;To register one's departure from work.;They clocked out early in order to be on time for the concert.;0;time
close to home;To affect you personally.;His criticism was a bit too close to home. She couldn't bear the way he talked about her work.;0;home
Clothes make the man;This idiom means that people are judged according to the way they are dressed.;Clothes make the man. Naked people have little or no influence in society.;0;clothes
cloud nine;This idiom is used to mean that you are in a state of extreme happiness.;He was on cloud nine after he passed the exam.;0;weather
cock-and-bull story;This idiom refers to a story or explanation which is obviously not true.;Jane came home very late last night and gave her mother some cock-and-bull story about how she had to help her friend find her keys.;0;animals
cog in the machine;Said about one part of a large system or organization;He was just an important cog in the machine of organized crime.;0;technology and science
coining money;Earning a lot of money quickly.;The company has been coining money since the new manager took over.;0;money
cold day in hell;This idiom is used to mean that something will never happen.;It'll be a cold day in hell before I accept his apologies.;0;religion
cold piece of work;To be difficult to deal with.;Did you see how she treats her husband? She is a cold piece of work.;0;work
come clean;To be honest and tell the truth.;She came clean about what she had done.;0;general
come down on somebody like a ton of bricks;To hit or punish somebody.;I'll come down on you like a ton of bricks if you do that once again!;0;sport
come from behind;To win after being in a losing position in a game.;The young boxer came from behind to beat the world champion.;0;sport
come hell or high water;Said when you are determined to do something despite difficulties.;I'll finish my report by midnight, come hell or high water!;0;religion
come into bloom;To start to produce flowers.;Look at the roses are just coming into bloom.;0;nature
come into money;To get some money unexpectedly, usually by inheritance.;He came into a lot of money.;0;money
come of age;This idiom means to reach adulthood.;His son has come of age.;0;age
come out of the closet;This idiom means to admit publicly one's homosexuality.;He came out of the closet when he went to university.;0;sexuality
come out of the woodwork;This idiom means to emerge suddenly and unexpectedly;He came out of the woodwork to disturb my quiet night.;0;home
come rain or shine;Regardless of the weather or circumstances.;Don't worry! I'll be on time come rain or shine.;0;weather
come to a head;This idiom is used to indicate that a situation suddenly becomes worse.;They didn't like each other and things came to a head when she asked for divorce.;0;parts of the body
come to blows;To have fight or an argument with someone.;Negotiators are trying not to come into blows over their territorial dispute.;0;sport
come to fruition;This idiom means to become reality or to be completed as planned.;I have never been able to bring my dreams to fruition.;0;food
come to terms with;To gradually accept a sad situation.;I think he will come to terms with the death of his wife.;0;general
come to your attention;Said when you notice something.;It has recently come to the workers attention that changes are taking place in the company because of financial problems.;0;general
come true;Said when something happens although it was unlikely that it would.;Her dream of buying a new car finally came true.;0;general
come under fire;To be subject of criricism.;The president has come under fire for his decision to postpone the elections.;0;nature
common as an old shoe;Low class, unrefined, ill-mannered, uncouth.;That girl is common as an old shoe.;0;general
